#;;;;;;;;;;;;;x;;;
uk_integration_title;Colonies Reintegration;;;;;;;;;;;;;x
uk_integration_desc;Australia, Canada and South Africa have been independent for too long, it's time for them to be under our direct control.;;;;;;;;;;;;;x
hacete_hombre_title;Hacete Hombre;;;;;;;;;;;;;x
hacete_hombre_desc;Mobilize the troops and educate the masses!;;;;;;;;;;;;;x
HH1;Hacete Hombre!;;;;;;;;;;;;;
HH1_desc;Battle royale.;;;;;;;;;;;;;
HH2;Hacete Hombre!;;;;;;;;;;;;;
HH2_desc;Education.;;;;;;;;;;;;;
nerf1;No Prestige!;;;;;;;;;;;;;
nerf1_desc;No prestige for you.;;;;;;;;;;;;;
buff1;Demographic Explosion!;;;;;;;;;;;;;
buff1_desc;Pops, pops and pops!;;;;;;;;;;;;;
bono_stonks;Accelerated Growth;;;;;;;;;;;;;
bono_stonks_desc;Pops, pops and pops!;;;;;;;;;;;;;
paises_bajos;Netherlands Buff;;;;;;;;;;;;;
paises_bajos_desc;Growth and Education!;;;;;;;;;;;;;
procaim_the_COP_title;Seikanron Debate;;;;;;;;;;;;;x
procaim_the_COP_desc;Korea should recognize the legitimacy of the Emperor Meiji and it's place under the Land of the Rising Sun!;;;;;;;;;;;;;x
unificacion_cultural_title;South American Cultural Unification;;;;;;;;;;;;;x
unificacion_cultural_desc;We have blurred the borders and conquered the vast expanse of South America, and now it's time to unite the people!;;;;;;;;;;;;;x
create_supply_depot_title;Create Supply Depot;;;;;;;;;;;;;x
create_supply_depot_desc;Establish a Supply Depot in our capital;;;;;;;;;;;;;x
dismantle_supply_depot_title;Dismantle Supply Depot;;;;;;;;;;;;;x
dismantle_supply_depot_desc;Destroy the Depot!;;;;;;;;;;;;;x
SAR;Sardinia;;;;;;;;;x;;;;
BLA;Balkan Empire;;;;;;;;;x;;;;
BLA_ADJ;Balkanese;;;;;;;;;x;;;;
DUA;Dual Monarchy;;;;;;;;;x;;;;
DUA_ADJ;Franco-English;;;;;;;;;x;;;;
MSU;Roman Empire;;;;;;;;;x;;;;
MSU_ADJ;Roman;;;;;;;;;x;;;;
NGE;North America;;;;;;;;;x;;;;
NGE_ADJ;North American;;;;;;;;;x;;;;
SCR;Slavic Empire;;;;;;;;;x;;;;
SCR_ADJ;Slavic;;;;;;;;;x;;;;
SCV;Viking Empire;;;;;;;;;x;;;;
SCV_ADJ;Viking;;;;;;;;;x;;;;
SDU;SA Confederation;;;;;;;;;x;;;;
SDU_ADJ;South-American;;;;;;;;;x;;;;
